FLIGHT_DATE,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
1/1/15,MQ,3355,CVG,MIA,6:00:00 AM,5:56:00 AM,-4,15,6:11:00 AM,153,150,123,948,8:14:00 AM,12,8:33:00 AM,8:26:00 AM,-7,0,0,,,,,,
1/1/15,MQ,3597,CVG,DFW,6:00:00 AM,,,,,165,,,812,,,7:45:00 AM,,,0,1,B,,,,,
1/1/15,OO,4811,BNA,CVG,6:45:00 AM,6:37:00 AM,-8,16,6:53:00 AM,72,66,45,230,8:38:00 AM,5,8:57:00 AM,8:43:00 AM,-14,0,0,,,,,,
1/1/15,DL,2315,CVG,ATL,7:10:00 AM,7:08:00 AM,-2,36,7:44:00 AM,102,101,62,373,8:46:00 AM,3,8:52:00 AM,8:49:00 AM,-3,0,0,,,,,,
1/1/15,F9,1308,IAD,CVG,7:15:00 AM,7:05:00 AM,-10,11,7:16:00 AM,95,91,75,388,8:31:00 AM,5,8:50:00 AM,8:36:00 AM,-14,0,0,,,,,,
1/1/15,DL,1502,CVG,TPA,7:20:00 AM,7:19:00 AM,-1,9,7:28:00 AM,141,116,105,773,9:13:00 AM,2,9:41:00 AM,9:15:00 AM,-26,0,0,,,,,,
1/1/15,MQ,3491,DFW,CVG,7:20:00 AM,,,,,128,,,812,,,10:28:00 AM,,,0,1,B,,,,,
1/1/15,F9,1290,CVG,FLL,7:25:00 AM,7:23:00 AM,-2,10,7:33:00 AM,150,143,126,932,9:39:00 AM,7,9:55:00 AM,9:46:00 AM,-9,0,0,,,,,,
1/1/15,DL,2359,CVG,RSW,7:31:00 AM,7:22:00 AM,-9,27,7:49:00 AM,153,150,117,879,9:46:00 AM,6,10:04:00 AM,9:52:00 AM,-12,0,0,,,,,,
1/1/15,F9,935,TTN,CVG,7:40:00 AM,7:51:00 AM,11,9,8:00:00 AM,127,119,103,532,9:43:00 AM,7,9:47:00 AM,9:50:00 AM,3,0,0,,,,,,
1/1/15,MQ,3429,CVG,DFW,8:20:00 AM,,,,,170,,,812,,,10:10:00 AM,,,0,1,B,,,,,
